Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Question and/or stop,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Frisk and/or search,Other,Miscellaneous,Brooklyn,Brooklyn North
Abuse of Authority,Gun pointed,Other,Miscellaneous,Brooklyn,Brooklyn North
Abuse of Authority,Gun pointed,Other,Miscellaneous,Brooklyn,Brooklyn North
Discourtesy,Word,Other,Miscellaneous,Brooklyn,Brooklyn North
Abuse of Authority,Refusal to provide name/shield number,Other,Miscellaneous,Brooklyn,Brooklyn North
Force,Dragged/Pulled,Other,Miscellaneous,Brooklyn,Brooklyn North
Discourtesy,Word,Full Investigation,Substantiated (Instructions),Manhattan,Manhattan North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Substantiated (Instructions),Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unsubstantiated,Queens,Queens South
Force,Physical force,Full Investigation,Unsubstantiated,Manhattan,Manhattan South
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Manhattan,Manhattan South
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Manhattan,Manhattan South
Offensive Language,Race,Full Investigation,Unsubstantiated,Manhattan,Manhattan South
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Manhattan,Manhattan South
Discourtesy,Word,Full Investigation,Unsubstantiated,Manhattan,Manhattan South
Force,Physical force,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Strip-searched,Full Investigation,Unsubstantiated,Bronx,Bronx
